Sequence;Type;Année;Tour;Département;Commune;Numéro du bureau; Code canton;Code circonscription;Indicatif;Nombre d'inscrits;Nombre d'abstentions;Nombre de votants;Nombre de votants d'après les feuilles d'émargement;Nombre de bulletins blancs;Nombre de bulletins nuls;Nombre d'exprimés;Nombre de candidats;Sigle du candidat;Nombre de voix du candidat;Sigle du candidat;Nombre de voix du candidat;ADRESSE;NOM;Geo Shape;pourcentage_participation;geo_point_2d
26;PR;2017;2;31;555;0026;17;02;I;699;232;467;467;34;14;419;2;LEPE;72;LEPE;72;270 RUE DE PERIOLE;ESPACE BONNEFOY PERIOLE;"{""type"": ""Polygon"", ""coordinates"": [[[1.4621729318, 43.6228676189], [1.4636223991, 43.6223493321], [1.4640108559, 43.6222272857], [1.4639386245, 43.6219547103], [1.4637205403, 43.6213384354], [1.4627238695, 43.6204983657], [1.4629008814, 43.6203578874], [1.4630450145, 43.620145555], [1.4627696848, 43.6199137271], [1.4624047085, 43.6196245269], [1.4618161306, 43.6191167846], [1.4613989607, 43.6186911397], [1.4612829626, 43.6186685433], [1.4601119774, 43.6193047468], [1.4597130656, 43.6195098037], [1.4593191673, 43.6197281504], [1.4590565423, 43.6198756043], [1.4580496127, 43.6201573162], [1.4577067327, 43.6202710293], [1.4574200163, 43.6202848868], [1.4578828983, 43.6212814151], [1.4586144844, 43.6210382009], [1.4588887269, 43.6210945593], [1.4601116116, 43.622080561], [1.4611188252, 43.6228530458], [1.461316907, 43.6228667708], [1.4621729318, 43.6228676189]]]}";66.80972818311875;43.620921799, 1.4610570377
33;PR;2017;2;31;555;0033;18;04;I;960;303;657;657;51;11;595;2;LEPE;114;LEPE;114;51 RUE DU REMPART ST ETIENNE;ECOLE FOURTANIER;"{""type"": ""Polygon"", ""coordinates"": [[[1.4486737681, 43.5997770479], [1.4471479511, 43.5997705613], [1.445770694, 43.599512184], [1.4459472401, 43.5996650665], [1.4469084144, 43.6004128281], [1.4480835965, 43.6004548563], [1.4479840972, 43.6007159641], [1.4476325763, 43.6013523533], [1.447656345, 43.6016503659], [1.4481339529, 43.6019265975], [1.4478722028, 43.6023682815], [1.448005915, 43.6026569529], [1.4481316506, 43.6026938924], [1.4489833192, 43.6025056676], [1.4489975115, 43.6015501888], [1.4501847929, 43.6015547584], [1.4502677291, 43.6015809582], [1.451898878, 43.6016798094], [1.4519005144, 43.6015691241], [1.4519068138, 43.6002867418], [1.4511201446, 43.6004533421], [1.4509148384, 43.6004067259], [1.4501582148, 43.6004765133], [1.4495841354, 43.6001974582], [1.4495221955, 43.599780996], [1.4486737681, 43.5997770479]]]}";68.4375;43.6009032505, 1.44917794946
42;PR;2017;2;31;555;0042;18;04;I;1103;314;789;789;81;27;681;2;LEPE;77;LEPE;77;20 B PLACE MARIUS PINEL;GROUPE SCOLAIRE BONHOURE;"{""type"": ""Polygon"", ""coordinates"": [[[1.4588062534, 43.6018111468], [1.4585860003, 43.6022702075], [1.4582844804, 43.6039169659], [1.457918168, 43.605294467], [1.460323664, 43.6057730088], [1.4618123709, 43.6043927398], [1.463502139, 43.6035154732], [1.4631260177, 43.6025257639], [1.4607072295, 43.6030435341], [1.4601494482, 43.6030808465], [1.460230316, 43.6029624], [1.4600755125, 43.6022830786], [1.4599177766, 43.6014733408], [1.4598367824, 43.6014085143], [1.459172086, 43.6015462315], [1.4586797538, 43.6016483761], [1.4588062534, 43.6018111468]]]}";71.53218495013598;43.6037669187, 1.4602405415
41;PR;2017;2;31;555;0041;18;04;I;914;289;625;625;44;8;573;2;LEPE;149;LEPE;149;8 BIS RUE JACQUES LABATUT;ECOLE CALVINHAC;"{""type"": ""Polygon"", ""coordinates"": [[[1.4524956356, 43.5957021253], [1.4523544228, 43.5968015325], [1.4529021294, 43.5967857616], [1.4533782209, 43.5966352601], [1.4535982583, 43.5965062046], [1.453804241, 43.5965390229], [1.4557597186, 43.5972565864], [1.4557295511, 43.5988258755], [1.4560025729, 43.5986737842], [1.4565401804, 43.598457548], [1.4566335626, 43.5978290432], [1.4566655297, 43.5950204617], [1.4567901457, 43.5946834824], [1.4568606916, 43.5946102935], [1.456503912, 43.5944497832], [1.4559748492, 43.5942116222], [1.4538538816, 43.5950131015], [1.4524956356, 43.5957021253]]]}";68.38074398249454;43.5960759883, 1.45507471741
7;PR;2017;2;31;555;0007;17;01;I;926;317;609;609;42;13;554;2;LEPE;71;LEPE;71;71 RUE DU TAUR;MATERNELLE SERMET;"{""type"": ""Polygon"", ""coordinates"": [[[1.4436996982, 43.6049563112], [1.4428359602, 43.6048361576], [1.4427006526, 43.6049469524], [1.4425925239, 43.6055746518], [1.4422815836, 43.606690453], [1.4423413327, 43.6067336987], [1.4422306512, 43.6067611606], [1.4421200383, 43.6070050847], [1.4418750358, 43.6077023342], [1.442093066, 43.6078212877], [1.4424750255, 43.6077728886], [1.443202451, 43.6079031655], [1.4441623598, 43.6080677996], [1.4448838818, 43.6081890614], [1.445505746, 43.6078372329], [1.4456085505, 43.6078408767], [1.4456679069, 43.6079218154], [1.4456679184, 43.6065424578], [1.4456811232, 43.6050672796], [1.4456716337, 43.6049107147], [1.4436996982, 43.6049563112]]]}";65.76673866090714;43.6065087253, 1.44401364502
11;PR;2017;2;31;555;0011;17;01;I;1143;316;827;827;64;10;753;2;LEPE;83;LEPE;83;13 BOULEVARD D ARCOLE;ECOLE DU NORD;"{""type"": ""Polygon"", ""coordinates"": [[[1.4434961037, 43.6105755807], [1.4429451441, 43.6106734183], [1.4427704207, 43.610950202], [1.4425571092, 43.6111084107], [1.4420284891, 43.6119756194], [1.4419476802, 43.6119196864], [1.4412537842, 43.6120351914], [1.4410403288, 43.6120707225], [1.4400706325, 43.6121993192], [1.4397397302, 43.6122438625], [1.4397170515, 43.6122909735], [1.4398126924, 43.6125992221], [1.4397973051, 43.6127091994], [1.4398812841, 43.6127862979], [1.4412808466, 43.6130093812], [1.4414800379, 43.6129476964], [1.4415499641, 43.6128867499], [1.4437666431, 43.6139071441], [1.4457867693, 43.6126552339], [1.4455011063, 43.6123388777], [1.4434961037, 43.6105755807]]]}";72.35345581802275;43.6123534426, 1.44310307239
22;PR;2017;2;31;555;0022;17;02;I;973;347;626;626;47;15;564;2;LEPE;82;LEPE;82;18 RUE DU FAUBOURG BONNEFOY;ECOLE BONNEFOY;"{""type"": ""Polygon"", ""coordinates"": [[[1.4539633136, 43.6167809813], [1.4527028339, 43.6173019306], [1.4527908802, 43.6184805431], [1.4525134726, 43.6193620666], [1.4527769729, 43.6197728454], [1.4527935531, 43.6197966298], [1.4529536913, 43.6197997736], [1.4530186379, 43.6197787365], [1.4542516193, 43.6193871622], [1.4560498019, 43.6187802921], [1.4561591007, 43.6187120883], [1.45501031, 43.6176643023], [1.4570066173, 43.6162540133], [1.4565277633, 43.6156987018], [1.4544143543, 43.6171903843], [1.4539633136, 43.6167809813]]]}";64.33710174717369;43.6179837081, 1.45438104577
10;PR;2017;2;31;555;0010;17;01;I;1237;375;862;862;66;19;777;2;LEPE;93;LEPE;93;13 BOULEVARD D ARCOLE;ECOLE DU NORD;"{""type"": ""Polygon"", ""coordinates"": [[[1.4372567773, 43.616104624], [1.4382981, 43.6162244177], [1.4394226315, 43.6161658225], [1.4404545249, 43.6158239063], [1.4404993169, 43.6158078688], [1.4407223515, 43.615727908], [1.4420273985, 43.6152467227], [1.4429302969, 43.6150945148], [1.442252737, 43.6150127947], [1.4421014426, 43.6149209058], [1.4412912122, 43.6150978545], [1.4410766264, 43.6141093332], [1.4411415633, 43.6138977719], [1.4415826732, 43.6130506874], [1.4415499641, 43.6128867499], [1.4414800379, 43.6129476964], [1.4412808466, 43.6130093812], [1.4398812841, 43.6127862979], [1.4397973051, 43.6127091994], [1.4398126924, 43.6125992221], [1.4397170515, 43.6122909735], [1.4397397302, 43.6122438625], [1.4400706325, 43.6121993192], [1.4410403288, 43.6120707225], [1.4412537842, 43.6120351914], [1.4419476802, 43.6119196864], [1.4420284891, 43.6119756194], [1.4425571092, 43.6111084107], [1.4427704207, 43.610950202], [1.4424702235, 43.6110850206], [1.4414317155, 43.6113057783], [1.4393368364, 43.6117225259], [1.4387670486, 43.6118589833], [1.4386664765, 43.6117929073], [1.4387317304, 43.6115844393], [1.4371123507, 43.6118311792], [1.4370734141, 43.6118956785], [1.4372272729, 43.6125859402], [1.4373101448, 43.6134269709], [1.4367539202, 43.6133466476], [1.4368170622, 43.6140844539], [1.4367017391, 43.6141773722], [1.4378027014, 43.6143330342], [1.4372567773, 43.616104624]]]}";69.68472109943411;43.6138025573, 1.43932572943
39;PR;2017;2;31;555;0039;18;03;I;92;33;59;59;6;2;51;2;LEPE;14;LEPE;14;5 BOULEVARD MICHELET;ECOLE MICHELET;"{""type"": ""Polygon"", ""coordinates"": [[[1.4660427278, 43.5985252664], [1.4659362611, 43.5984764436], [1.4647099983, 43.5983270226], [1.4633483209, 43.5983297587], [1.4632252603, 43.5983253786], [1.463217856, 43.598356349], [1.4626785477, 43.6008213872], [1.4634891351, 43.6006611085], [1.4643546562, 43.6002979215], [1.4657817975, 43.5995984053], [1.4660427278, 43.5985252664]]]}";64.13043478260869;43.5993732277, 1.46424267951
25;PR;2017;2;31;555;0025;17;02;I;1053;394;659;659;55;15;589;2;LEPE;89;LEPE;89;270 RUE DE PERIOLE;ESPACE BONNEFOY PERIOLE;"{""type"": ""Polygon"", ""coordinates"": [[[1.45501031, 43.6176643023], [1.4561591007, 43.6187120883], [1.4571054791, 43.6196229931], [1.4574200163, 43.6202848868], [1.4577067327, 43.6202710293], [1.4580496127, 43.6201573162], [1.4590565423, 43.6198756043], [1.4593191673, 43.6197281504], [1.4597130656, 43.6195098037], [1.4601119774, 43.6193047468], [1.4612829626, 43.6186685433], [1.4613989607, 43.6186911397], [1.4608298516, 43.6179644781], [1.4596075318, 43.6175953197], [1.4594670137, 43.6175545955], [1.458744131, 43.6173450839], [1.457455805, 43.6166176102], [1.4578545687, 43.6163383424], [1.4585819724, 43.6168328981], [1.4593770079, 43.6170962102], [1.4598028679, 43.6163036017], [1.4587690249, 43.6161965737], [1.4589952824, 43.6153852126], [1.4571689306, 43.6152310279], [1.4565277633, 43.6156987018], [1.4570066173, 43.6162540133], [1.45501031, 43.6176643023]]]}";62.58309591642926;43.6178803278, 1.45806591471
